Name,Country,lat,lon,gid
Hamburg,DE,53.550,10.001,ChIJuRMYfoNhsUcRoDrWe_I9JgQ
Berlin,DE,52.517,13.389,ChIJAVkDPzdOqEcRcDteW0YgIQQ
Köln,DE,50.938,6.960,ChIJ5S-raZElv0cR8HcqSvxgJwQ
Frankfurt,DE,50.121,8.682,ChIJxZZwR28JvUcRAMawKVBDIgQ
München,DE,48.137,11.575,ChIJ2V-Mo_l1nkcRfZixfUq4DAE
Brüssel,BE,50.847,4.352,ChIJZ2jHc-2kw0cRpwJzeGY6i8E
Antwerpen,BE,51.221,4.400,ChIJfYjDv472w0cRuIqogoRErz4
Luxemburg,LU,49.611,6.130,ChIJKRIlUsVIlUcRGYbH9YsREtA
Amsterdam,NL,52.375,4.898,ChIJVXealLU_xkcRja_At0z9AGY
Rotterdam,NL,51.928,4.489,ChIJfcRUX2C3xUcRhUtelay7KVI
Paris,FR,48.857,2.351,ChIJD7fiBh9u5kcRYJSMaMOCCwQ
Straßburg,FR,48.585,7.751,ChIJwbIYXknIlkcRHyTnGDFIGpc
Bordeaux,FR,44.841,-0.580,ChIJgcpR9-gnVQ0RiXo5ewOGY3k
Montpellier,FR,43.611,3.877,ChIJsZ3dJQevthIRAuiUKHRWh60
Marseille,FR,43.296,5.370,ChIJM1PaREO_yRIRIAKX_aUZCAQ
Nice,FR,43.701,7.268,ChIJMS2FahDQzRIRcJqX_aUZCAQ
Lyon,FR,45.758,4.832,ChIJl4foalHq9EcR8CG75CqrCAQ
